elapsed time [s];abs. position error [km]
    0.000000000;    0.524674490
   10.000000000;    0.524017009
   20.000000000;    0.523359494
   30.000000000;    0.522701948
   40.000000000;    0.522044374
   50.000000000;    0.521386776
   60.000000000;    0.520729157
   70.000000000;    0.520071519
   80.000000000;    0.519413867
   90.000000000;    0.518756204
  100.000000000;    0.518098532
  110.000000000;    0.517440855
  120.000000000;    0.516783177
  130.000000000;    0.516125500
  140.000000000;    0.515467828
  150.000000000;    0.514810165
  160.000000000;    0.514152513
  170.000000000;    0.513494877
  180.000000000;    0.512837258
  190.000000000;    0.512179662
  200.000000000;    0.511522090
  210.000000000;    0.510864546
  220.000000000;    0.510207034
  230.000000000;    0.509549558
  240.000000000;    0.508892119
  250.000000000;    0.508234723
  260.000000000;    0.507577378
  270.000000000;    0.506920094
  280.000000000;    0.506262861
  290.000000000;    0.505605684
  300.000000000;    0.504948566
  310.000000000;    0.504291510
  320.000000000;    0.503634520
  330.000000000;    0.502977599
  340.000000000;    0.502320751
  350.000000000;    0.501663978
  360.000000000;    0.501007285
  370.000000000;    0.500350674
  380.000000000;    0.499694150
  390.000000000;    0.499037716
  400.000000000;    0.498381375
  410.000000000;    0.497725131
  420.000000000;    0.497068987
  430.000000000;    0.496412946
  440.000000000;    0.495757013
  450.000000000;    0.495101190
  460.000000000;    0.494445481
  470.000000000;    0.493789891
  480.000000000;    0.493134421
  490.000000000;    0.492479076
  500.000000000;    0.491823860
  510.000000000;    0.491168775
  520.000000000;    0.490513825
  530.000000000;    0.489859015
  540.000000000;    0.489204347
  550.000000000;    0.488549826
  560.000000000;    0.487895454
  570.000000000;    0.487241235
  580.000000000;    0.486587173
  590.000000000;    0.485933272
  600.000000000;    0.485279535
  610.000000000;    0.484625965
  620.000000000;    0.483972567
  630.000000000;    0.483319344
  640.000000000;    0.482666300
  650.000000000;    0.482013438
  660.000000000;    0.481360763
  670.000000000;    0.480708276
  680.000000000;    0.480055984
  690.000000000;    0.479403888
  700.000000000;    0.478751993
  710.000000000;    0.478100303
  720.000000000;    0.477448821
  730.000000000;    0.476797551
  740.000000000;    0.476146497
  750.000000000;    0.475495662
  760.000000000;    0.474845051
  770.000000000;    0.474194666
  780.000000000;    0.473544512
  790.000000000;    0.472894593
  800.000000000;    0.472244912
  810.000000000;    0.471595473
  820.000000000;    0.470946281
  830.000000000;    0.470297338
  840.000000000;    0.469648649
  850.000000000;    0.469000217
  860.000000000;    0.468352046
  870.000000000;    0.467704141
  880.000000000;    0.467056505
  890.000000000;    0.466409142
  900.000000000;    0.465762055
  910.000000000;    0.465115250
  920.000000000;    0.464468729
  930.000000000;    0.463822496
  940.000000000;    0.463176556
  950.000000000;    0.462530913
  960.000000000;    0.461885570
  970.000000000;    0.461240531
  980.000000000;    0.460595800
  990.000000000;    0.459951382
 1000.000000000;    0.459307281
 1010.000000000;    0.458663499
 1020.000000000;    0.458020042
 1030.000000000;    0.457376913
 1040.000000000;    0.456734117
 1050.000000000;    0.456091657
 1060.000000000;    0.455449537
 1070.000000000;    0.454807763
 1080.000000000;    0.454166336
 1090.000000000;    0.453525263
 1100.000000000;    0.452884546
 1110.000000000;    0.452244190
 1120.000000000;    0.451604199
 1130.000000000;    0.450964578
 1140.000000000;    0.450325329
 1150.000000000;    0.449686459
 1160.000000000;    0.449047960
 1170.000000000;    0.448409833
 1180.000000000;    0.447772095
 1190.000000000;    0.447134752
 1200.000000000;    0.446497807
 1210.000000000;    0.445861265
 1220.000000000;    0.445225129
 1230.000000000;    0.444589405
