#   Ephemerides
#   -----------
#   Created    : Jan 09 2026 18:57:26.485000000
#
#   Object     : INTASAT
#
#
#   Epoch          RA           DE           VRA       VDE      AZI         ELE
#    mjd           rad          rad             arcs/sec        deg         deg
#
61049.73708333  0.121508763  0.815505354  000.0000  000.0000  274.743297   28.015826
61049.73711806  0.120287289  0.818117086  000.0000  000.0000  275.317100   27.966648
61049.73715278  0.119058973  0.820728085  000.0000  000.0000  275.889320   27.914278
61049.73718750  0.117823744  0.823338343  000.0000  000.0000  276.459865   27.858744
61049.73722222  0.116581528  0.825947850  000.0000  000.0000  277.028642   27.800077
61049.73725694  0.115332250  0.828556600  000.0000  000.0000  277.595564   27.738309
61049.73729167  0.114075835  0.831164583  000.0000  000.0000  278.160542   27.673474
61049.73732639  0.112812207  0.833771790  000.0000  000.0000  278.723492   27.605606
61049.73736111  0.111541288  0.836378214  000.0000  000.0000  279.284330   27.534742
61049.73739583  0.110263001  0.838983843  000.0000  000.0000  279.842975   27.460919
61049.73743056  0.108977265  0.841588671  000.0000  000.0000  280.399348   27.384176
61049.73746528  0.107684000  0.844192688  000.0000  000.0000  280.953374   27.304552
61049.73750000  0.106383125  0.846795883  000.0000  000.0000  281.504977   27.222088
61049.73753472  0.105074558  0.849398249  000.0000  000.0000  282.054086   27.136826
61049.73756944  0.103758213  0.851999774  000.0000  000.0000  282.600631   27.048809
61049.73760417  0.102434007  0.854600451  000.0000  000.0000  283.144545   26.958081
61049.73763889  0.101101854  0.857200268  000.0000  000.0000  283.685763   26.864685
61049.73767361  0.099761666  0.859799216  000.0000  000.0000  284.224223   26.768667
61049.73770833  0.098413355  0.862397285  000.0000  000.0000  284.759865   26.670073
61049.73774306  0.097056831  0.864994464  000.0000  000.0000  285.292632   26.568949
61049.73777778  0.095692005  0.867590744  000.0000  000.0000  285.822469   26.465343
61049.73781250  0.094318783  0.870186113  000.0000  000.0000  286.349324   26.359302
61049.73784722  0.092937073  0.872780561  000.0000  000.0000  286.873145   26.250875
61049.73788194  0.091546779  0.875374076  000.0000  000.0000  287.393887   26.140109
61049.73791667  0.090147807  0.877966649  000.0000  000.0000  287.911504   26.027054
61049.73795139  0.088740058  0.880558268  000.0000  000.0000  288.425953   25.911758
61049.73798611  0.087323435  0.883148921  000.0000  000.0000  288.937194   25.794272
61049.73802083  0.085897838  0.885738598  000.0000  000.0000  289.445190   25.674644
61049.73805556  0.084463165  0.888327286  000.0000  000.0000  289.949904   25.552925
61049.73809028  0.083019313  0.890914973  000.0000  000.0000  290.451304   25.429163
61049.73812500  0.081566179  0.893501648  000.0000  000.0000  290.949359   25.303409
61049.73815972  0.080103656  0.896087298  000.0000  000.0000  291.444040   25.175713
61049.73819444  0.078631639  0.898671912  000.0000  000.0000  291.935321   25.046123
61049.73822917  0.077150017  0.901255476  000.0000  000.0000  292.423178   24.914690
61049.73826389  0.075658681  0.903837977  000.0000  000.0000  292.907589   24.781463
61049.73829861  0.074157519  0.906419404  000.0000  000.0000  293.388534   24.646491
61049.73833333  0.072646418  0.908999743  000.0000  000.0000  293.865995   24.509823
61049.73836806  0.071125263  0.911578980  000.0000  000.0000  294.339957   24.371507
61049.73840278  0.069593937  0.914157102  000.0000  000.0000  294.810406   24.231592
61049.73843750  0.068052323  0.916734095  000.0000  000.0000  295.277330   24.090126
61049.73847222  0.066500299  0.919309945  000.0000  000.0000  295.740719   23.947156
61049.73850694  0.064937744  0.921884639  000.0000  000.0000  296.200565   23.802729
61049.73854167  0.063364535  0.924458162  000.0000  000.0000  296.656861   23.656891
61049.73857639  0.061780546  0.927030499  000.0000  000.0000  297.109603   23.509690
61049.73861111  0.060185651  0.929601635  000.0000  000.0000  297.558788   23.361171
61049.73864583  0.058579720  0.932171557  000.0000  000.0000  298.004414   23.211379
61049.73868056  0.056962622  0.934740247  000.0000  000.0000  298.446482   23.060358
61049.73871528  0.055334224  0.937307691  000.0000  000.0000  298.884994   22.908152
61049.73875000  0.053694393  0.939873873  000.0000  000.0000  299.319952   22.754805
61049.73878472  0.052042990  0.942438777  000.0000  000.0000  299.751361   22.600360
61049.73881944  0.050379877  0.945002387  000.0000  000.0000  300.179228   22.444858
61049.73885417  0.048704914  0.947564687  000.0000  000.0000  300.603559   22.288342
61049.73888889  0.047017956  0.950125659  000.0000  000.0000  301.024363   22.130852
61049.73892361  0.045318860  0.952685286  000.0000  000.0000  301.441650   21.972428
61049.73895833  0.043607477  0.955243552  000.0000  000.0000  301.855430   21.813111
61049.73899306  0.041883658  0.957800439  000.0000  000.0000  302.265716   21.652937
61049.73902778  0.040147252  0.960355928  000.0000  000.0000  302.672521   21.491947
61049.73906250  0.038398103  0.962910002  000.0000  000.0000  303.075858   21.330176
61049.73909722  0.036636057  0.965462643  000.0000  000.0000  303.475744   21.167663
61049.73913194  0.034860953  0.968013831  000.0000  000.0000  303.872192   21.004442
61049.73916667  0.033072631  0.970563548  000.0000  000.0000  304.265222   20.840549
61049.73920139  0.031270926  0.973111774  000.0000  000.0000  304.654849   20.676019
61049.73923611  0.029455673  0.975658490  000.0000  000.0000  305.041093   20.510885
61049.73927083  0.027626703  0.978203675  000.0000  000.0000  305.423972   20.345181
61049.73930556  0.025783844  0.980747310  000.0000  000.0000  305.803508   20.178938
61049.73934028  0.023926922  0.983289373  000.0000  000.0000  306.179719   20.012189
