# Epoch (mjd);Azimuth (deg),Elevation (deg)
6.104377875907393172e+04;6.021496985537150515e+00;2.597133184821823093e+01
6.104377876694453880e+04;6.697480178388878436e+00;2.671858241325815797e+01
6.104377877288172022e+04;8.128381222599617928e+00;2.735417502469233142e+01
6.104377877877326682e+04;1.033024721614218500e+01;2.738828920858629346e+01
6.104377878458332270e+04;1.325390931961940311e+01;2.738524724466322269e+01
6.104377879042830318e+04;1.696633014709727050e+01;2.738168369502353272e+01
6.104377879627328366e+04;2.101078706841318677e+01;2.737830809400610121e+01
6.104377880202559754e+04;2.498593769225426442e+01;2.737544531563236561e+01
6.104377880812482908e+04;2.919276153425159137e+01;2.737290100696832695e+01
6.104377881396980956e+04;3.323018568251962535e+01;2.737100659837063787e+01
6.104377881982643157e+04;3.728913458559790683e+01;2.736963362519346887e+01
6.104377882559038699e+04;4.127282691175975060e+01;2.736872661611270985e+01
6.104377883163187653e+04;4.543431190251662599e+01;2.736838520137543185e+01
6.104377883740747347e+04;4.943108629551245770e+01;2.736857645141397199e+01
6.104377884347224608e+04;5.362795636367687280e+01;2.736928797422730497e+01
6.104377884931722656e+04;5.766248039724504082e+01;2.737053565946006373e+01
6.104377885518502444e+04;6.171652435521904323e+01;2.737229071907009015e+01
6.104377886098390445e+04;6.572087611235778581e+01;2.737453463454280467e+01
6.104377886704867706e+04;6.990793647917753617e+01;2.737737853838193303e+01
6.104377887282427400e+04;7.389809929045834735e+01;2.738058266815031772e+01
6.104377887886576355e+04;7.808272728323559875e+01;2.738440490641932001e+01
6.104377888469910249e+04;8.210941133805111747e+01;2.738856065725671129e+01
6.104377889063674957e+04;8.620864097204368193e+01;2.739313860594420191e+01
6.104377889653947204e+04;9.029877726619953648e+01;2.739817316690464111e+01
6.104377890234952793e+04;9.431455674494137043e+01;2.740345831733414883e+01
6.104377890824060887e+04;9.836225318095817727e+01;2.740916922809035228e+01
6.104377891399292275e+04;1.023616010515109593e+02;2.741502820620144121e+01
6.104377891990728676e+04;1.064525620171948077e+02;2.742134704502192832e+01
6.104377892577555031e+04;1.105025759891403965e+02;2.742786758650616719e+01
6.104377893157396466e+04;1.145153076906112943e+02;2.743453886249505658e+01
6.104377893754607067e+04;1.186479221578062209e+02;2.744160900647805690e+01
6.104377894343761727e+04;1.227193619405621234e+02;2.744866125021292547e+01
6.104377894928259775e+04;1.267595286561705308e+02;2.745581803960983436e+01
6.104377895511593670e+04;1.307984905027450395e+02;2.746306336489485389e+01
6.104377896104147658e+04;1.348876008444653110e+02;2.747043304236553141e+01
6.104377896680543199e+04;1.388834907720477929e+02;2.747761210380713237e+01
6.104377897267369553e+04;1.429366070794999644e+02;2.748487183530437861e+01
6.104377897861134261e+04;1.470492851779696082e+02;2.749219362528664234e+01
6.104377898460626602e+04;1.512005458213235443e+02;2.749946765806465976e+01
