elapsed time [s];abs. position error [km]
    0.000000000;    0.222430440
   10.000000000;    0.221807273
   20.000000000;    0.221185774
   30.000000000;    0.220565937
   40.000000000;    0.219947764
   50.000000000;    0.219331255
   60.000000000;    0.218716409
   70.000000000;    0.218103227
   80.000000000;    0.217491706
   90.000000000;    0.216881844
  100.000000000;    0.216273638
  110.000000000;    0.215667084
  120.000000000;    0.215062177
  130.000000000;    0.214458912
  140.000000000;    0.213857284
  150.000000000;    0.213257288
  160.000000000;    0.212658918
  170.000000000;    0.212062170
  180.000000000;    0.211467039
  190.000000000;    0.210874221
  200.000000000;    0.210283110
  210.000000000;    0.209693587
  220.000000000;    0.209105630
  230.000000000;    0.208519215
  240.000000000;    0.207934319
  250.000000000;    0.207350922
  260.000000000;    0.206769001
  270.000000000;    0.206188538
  280.000000000;    0.205609513
  290.000000000;    0.205031909
  300.000000000;    0.204455708
  310.000000000;    0.203880896
  320.000000000;    0.203307455
  330.000000000;    0.202735372
  340.000000000;    0.202164632
  350.000000000;    0.201595220
  360.000000000;    0.201027124
  370.000000000;    0.200460319
  380.000000000;    0.199894805
  390.000000000;    0.199330569
  400.000000000;    0.198767600
  410.000000000;    0.198205882
  420.000000000;    0.197645404
  430.000000000;    0.197086153
  440.000000000;    0.196528114
  450.000000000;    0.195971278
  460.000000000;    0.195415632
  470.000000000;    0.194861166
  480.000000000;    0.194307872
  490.000000000;    0.193755740
  500.000000000;    0.193204766
  510.000000000;    0.192654944
  520.000000000;    0.192106273
  530.000000000;    0.191558751
  540.000000000;    0.191012380
  550.000000000;    0.190467539
  560.000000000;    0.189923911
  570.000000000;    0.189381442
  580.000000000;    0.188840126
  590.000000000;    0.188299961
  600.000000000;    0.187760942
  610.000000000;    0.187223067
  620.000000000;    0.186686335
  630.000000000;    0.186150745
  640.000000000;    0.185616296
  650.000000000;    0.185082989
  660.000000000;    0.184550825
  670.000000000;    0.184019807
  680.000000000;    0.183489936
  690.000000000;    0.182961217
  700.000000000;    0.182433655
  710.000000000;    0.181907259
  720.000000000;    0.181382035
  730.000000000;    0.180857808
  740.000000000;    0.180334760
  750.000000000;    0.179812936
  760.000000000;    0.179292359
  770.000000000;    0.178773051
  780.000000000;    0.178255039
  790.000000000;    0.177738349
  800.000000000;    0.177223010
  810.000000000;    0.176709050
  820.000000000;    0.176196500
  830.000000000;    0.175685390
  840.000000000;    0.175175751
  850.000000000;    0.174667613
  860.000000000;    0.174161006
  870.000000000;    0.173655960
  880.000000000;    0.173152504
  890.000000000;    0.172650665
  900.000000000;    0.172150471
  910.000000000;    0.171652179
  920.000000000;    0.171155602
  930.000000000;    0.170660726
  940.000000000;    0.170167569
  950.000000000;    0.169676152
  960.000000000;    0.169186495
  970.000000000;    0.168698621
  980.000000000;    0.168212555
  990.000000000;    0.167728328
 1000.000000000;    0.167245971
 1010.000000000;    0.166765521
 1020.000000000;    0.166287021
 1030.000000000;    0.165810517
 1040.000000000;    0.165336063
 1050.000000000;    0.164863716
 1060.000000000;    0.164393542
 1070.000000000;    0.163925612
 1080.000000000;    0.163460000
 1090.000000000;    0.162997332
 1100.000000000;    0.162537247
 1110.000000000;    0.162079753
 1120.000000000;    0.161624929
 1130.000000000;    0.161172858
 1140.000000000;    0.160723627
 1150.000000000;    0.160277324
 1160.000000000;    0.159834042
 1170.000000000;    0.159393875
 1180.000000000;    0.158956918
 1190.000000000;    0.158523270
 1200.000000000;    0.158093030
 1210.000000000;    0.157666299
 1220.000000000;    0.157243180
 1230.000000000;    0.156823776
 1240.000000000;    0.156408190
 1250.000000000;    0.155996527
 1260.000000000;    0.155588893
 1270.000000000;    0.155184828
 1280.000000000;    0.154784936
 1290.000000000;    0.154389416
 1300.000000000;    0.153998391
 1310.000000000;    0.153611986
 1320.000000000;    0.153230324
 1330.000000000;    0.152853529
