elapsed time [s];abs. position error [km]
    0.000000000;    0.106736198
   10.000000000;    0.106736887
   20.000000000;    0.106743152
   30.000000000;    0.106754925
   40.000000000;    0.106772146
   50.000000000;    0.106794751
   60.000000000;    0.106822677
   70.000000000;    0.106855855
   80.000000000;    0.106894216
   90.000000000;    0.106937691
  100.000000000;    0.106986204
  110.000000000;    0.107039682
  120.000000000;    0.107098048
  130.000000000;    0.107161223
  140.000000000;    0.107229127
  150.000000000;    0.107301679
  160.000000000;    0.107378797
  170.000000000;    0.107460399
  180.000000000;    0.107546400
  190.000000000;    0.107637409
  200.000000000;    0.107732742
  210.000000000;    0.107832200
  220.000000000;    0.107935678
  230.000000000;    0.108043067
  240.000000000;    0.108154264
  250.000000000;    0.108269160
  260.000000000;    0.108387652
  270.000000000;    0.108509634
  280.000000000;    0.108635004
  290.000000000;    0.108763658
  300.000000000;    0.108895495
  310.000000000;    0.109030413
  320.000000000;    0.109168313
  330.000000000;    0.109309096
  340.000000000;    0.109452663
  350.000000000;    0.109598915
  360.000000000;    0.109747756
  370.000000000;    0.109899109
  380.000000000;    0.110052862
  390.000000000;    0.110208915
  400.000000000;    0.110367174
  410.000000000;    0.110527540
  420.000000000;    0.110689918
  430.000000000;    0.110854212
  440.000000000;    0.111020329
  450.000000000;    0.111188172
  460.000000000;    0.111357650
  470.000000000;    0.111528669
  480.000000000;    0.111701139
  490.000000000;    0.111874970
  500.000000000;    0.112050073
  510.000000000;    0.112226364
  520.000000000;    0.112403756
  530.000000000;    0.112582167
  540.000000000;    0.112761516
  550.000000000;    0.112942122
  560.000000000;    0.113123566
  570.000000000;    0.113305708
  580.000000000;    0.113488462
  590.000000000;    0.113671742
  600.000000000;    0.113855464
  610.000000000;    0.114039545
  620.000000000;    0.114223902
  630.000000000;    0.114408456
  640.000000000;    0.114593126
  650.000000000;    0.114777834
  660.000000000;    0.114962504
  670.000000000;    0.115147060
  680.000000000;    0.115331428
  690.000000000;    0.115515536
  700.000000000;    0.115699313
  710.000000000;    0.115882691
  720.000000000;    0.116065603
  730.000000000;    0.116247885
  740.000000000;    0.116429570
  750.000000000;    0.116610616
  760.000000000;    0.116790968
  770.000000000;    0.116970573
  780.000000000;    0.117149381
  790.000000000;    0.117327341
  800.000000000;    0.117504405
  810.000000000;    0.117680527
  820.000000000;    0.117855660
  830.000000000;    0.118029757
  840.000000000;    0.118202775
  850.000000000;    0.118374666
  860.000000000;    0.118545384
  870.000000000;    0.118714882
  880.000000000;    0.118883113
  890.000000000;    0.119050027
  900.000000000;    0.119215574
  910.000000000;    0.119379814
  920.000000000;    0.119542584
  930.000000000;    0.119703812
  940.000000000;    0.119863440
  950.000000000;    0.120021411
  960.000000000;    0.120177669
  970.000000000;    0.120332157
  980.000000000;    0.120484824
  990.000000000;    0.120635616
 1000.000000000;    0.120784486
 1010.000000000;    0.120931387
 1020.000000000;    0.121076277
 1030.000000000;    0.121219119
 1040.000000000;    0.121359879
 1050.000000000;    0.121498527
 1060.000000000;    0.121635040
 1070.000000000;    0.121769398
 1080.000000000;    0.121901587
 1090.000000000;    0.122032162
 1100.000000000;    0.122160644
 1110.000000000;    0.122286942
 1120.000000000;    0.122411042
 1130.000000000;    0.122532932
 1140.000000000;    0.122652603
 1150.000000000;    0.122770050
 1160.000000000;    0.122885271
 1170.000000000;    0.122998264
 1180.000000000;    0.123109031
 1190.000000000;    0.123217576
 1200.000000000;    0.123323904
 1210.000000000;    0.123428022
 1220.000000000;    0.123529939
 1230.000000000;    0.123629664
 1240.000000000;    0.123727207
 1250.000000000;    0.123822579
 1260.000000000;    0.123915790
 1270.000000000;    0.124006464
 1280.000000000;    0.124094957
 1290.000000000;    0.124181346
 1300.000000000;    0.124265653
 1310.000000000;    0.124347901
 1320.000000000;    0.124428109
 1330.000000000;    0.124506299
 1340.000000000;    0.124582488
 1350.000000000;    0.124656694
 1360.000000000;    0.124728932
 1370.000000000;    0.124799218
 1380.000000000;    0.124867565
 1390.000000000;    0.124933986
 1400.000000000;    0.124998491
 1410.000000000;    0.125061091
 1420.000000000;    0.125121797
 1430.000000000;    0.125180619
 1440.000000000;    0.125237568
 1450.000000000;    0.125292543
 1460.000000000;    0.125345640
 1470.000000000;    0.125396889
 1480.000000000;    0.125446309
 1490.000000000;    0.125493921
 1500.000000000;    0.125539750
 1510.000000000;    0.125583821
 1520.000000000;    0.125626166
 1530.000000000;    0.125666819
 1540.000000000;    0.125705814
 1550.000000000;    0.125743193
 1560.000000000;    0.125778999
 1570.000000000;    0.125813278
 1580.000000000;    0.125846080
 1590.000000000;    0.125877458
 1600.000000000;    0.125907465
 1610.000000000;    0.125936161
 1620.000000000;    0.125963606
 1630.000000000;    0.125990131
 1640.000000000;    0.126015576
 1650.000000000;    0.126039964
 1660.000000000;    0.126063350
 1670.000000000;    0.126085792
 1680.000000000;    0.126107345
 1690.000000000;    0.126128066
 1700.000000000;    0.126148010
 1710.000000000;    0.126167233
 1720.000000000;    0.126185786
 1730.000000000;    0.126203724
 1740.000000000;    0.126221098
 1750.000000000;    0.126237959
 1760.000000000;    0.126254356
 1770.000000000;    0.126270338
 1780.000000000;    0.126285953
 1790.000000000;    0.126301249
 1800.000000000;    0.126316271
 1810.000000000;    0.126330891
 1820.000000000;    0.126345306
 1830.000000000;    0.126359589
 1840.000000000;    0.126373796
 1850.000000000;    0.126387977
 1860.000000000;    0.126402190
 1870.000000000;    0.126416488
 1880.000000000;    0.126430929
 1890.000000000;    0.126445571
 1900.000000000;    0.126460477
 1910.000000000;    0.126475707
 1920.000000000;    0.126491326
 1930.000000000;    0.126507402
 1940.000000000;    0.126524004
 1950.000000000;    0.126541203
 1960.000000000;    0.126559074
 1970.000000000;    0.126577693
 1980.000000000;    0.126597138
 1990.000000000;    0.126617488
 2000.000000000;    0.126638835
 2010.000000000;    0.126661263
 2020.000000000;    0.126684859
 2030.000000000;    0.126709706
 2040.000000000;    0.126735890
 2050.000000000;    0.126763494
 2060.000000000;    0.126792601
 2070.000000000;    0.126823292
 2080.000000000;    0.126855644
 2090.000000000;    0.126889732
 2100.000000000;    0.126925629
 2110.000000000;    0.126963401
 2120.000000000;    0.127003112
 2130.000000000;    0.127044821
 2140.000000000;    0.127088582
 2150.000000000;    0.127134445
 2160.000000000;    0.127182455
 2170.000000000;    0.127231719
 2180.000000000;    0.127283071
 2190.000000000;    0.127336693
 2200.000000000;    0.127392649
 2210.000000000;    0.127450996
 2220.000000000;    0.127511792
 2230.000000000;    0.127575094
 2240.000000000;    0.127640956
 2250.000000000;    0.127709433
 2260.000000000;    0.127780578
 2270.000000000;    0.127854443
 2280.000000000;    0.127931081
 2290.000000000;    0.128010542
 2300.000000000;    0.128092876
 2310.000000000;    0.128178134
 2320.000000000;    0.128266365
 2330.000000000;    0.128357617
 2340.000000000;    0.128451937
 2350.000000000;    0.128549681
 2360.000000000;    0.128650607
 2370.000000000;    0.128754706
 2380.000000000;    0.128862013
 2390.000000000;    0.128972560
 2400.000000000;    0.129086380
 2410.000000000;    0.129203503
 2420.000000000;    0.129323961
 2430.000000000;    0.129447785
 2440.000000000;    0.129575003
 2450.000000000;    0.129705647
 2460.000000000;    0.129839745
 2470.000000000;    0.129977327
