elapsed time [s];abs. position error [km]
    0.000000000;    0.166989173
   10.000000000;    0.167904730
   20.000000000;    0.168822162
   30.000000000;    0.169741369
   40.000000000;    0.170662248
   50.000000000;    0.171584695
   60.000000000;    0.172508606
   70.000000000;    0.173433878
   80.000000000;    0.174360408
   90.000000000;    0.175288093
  100.000000000;    0.176216832
  110.000000000;    0.177146525
  120.000000000;    0.178077072
  130.000000000;    0.179008375
  140.000000000;    0.179940339
  150.000000000;    0.180872867
  160.000000000;    0.181805864
  170.000000000;    0.182739236
  180.000000000;    0.183672890
  190.000000000;    0.184606138
  200.000000000;    0.185539404
  210.000000000;    0.186472692
  220.000000000;    0.187405923
  230.000000000;    0.188339019
  240.000000000;    0.189271898
  250.000000000;    0.190204477
  260.000000000;    0.191136671
  270.000000000;    0.192068390
  280.000000000;    0.192999543
  290.000000000;    0.193930033
  300.000000000;    0.194859765
  310.000000000;    0.195788635
  320.000000000;    0.196716540
  330.000000000;    0.197643375
  340.000000000;    0.198569031
  350.000000000;    0.199493398
  360.000000000;    0.200416366
  370.000000000;    0.201337527
  380.000000000;    0.202257020
  390.000000000;    0.203174782
  400.000000000;    0.204090712
  410.000000000;    0.205004711
  420.000000000;    0.205916682
  430.000000000;    0.206826528
  440.000000000;    0.207734156
  450.000000000;    0.208639472
  460.000000000;    0.209542387
  470.000000000;    0.210442809
  480.000000000;    0.211340651
  490.000000000;    0.212235825
  500.000000000;    0.213128243
  510.000000000;    0.214017819
  520.000000000;    0.214904464
  530.000000000;    0.215788091
  540.000000000;    0.216668610
  550.000000000;    0.217545513
  560.000000000;    0.218419070
  570.000000000;    0.219289257
  580.000000000;    0.220155992
  590.000000000;    0.221019195
  600.000000000;    0.221878781
  610.000000000;    0.222734666
  620.000000000;    0.223586764
  630.000000000;    0.224434988
  640.000000000;    0.225279250
  650.000000000;    0.226119460
  660.000000000;    0.226955528
  670.000000000;    0.227787361
  680.000000000;    0.228614870
  690.000000000;    0.229437960
  700.000000000;    0.230256539
  710.000000000;    0.231070513
  720.000000000;    0.231879789
  730.000000000;    0.232684415
  740.000000000;    0.233484168
  750.000000000;    0.234278930
  760.000000000;    0.235068605
  770.000000000;    0.235853097
  780.000000000;    0.236632309
  790.000000000;    0.237406150
  800.000000000;    0.238174528
  810.000000000;    0.238937353
  820.000000000;    0.239694538
  830.000000000;    0.240446000
  840.000000000;    0.241191658
  850.000000000;    0.241931435
  860.000000000;    0.242665258
  870.000000000;    0.243393056
  880.000000000;    0.244114763
  890.000000000;    0.244830318
  900.000000000;    0.245539661
  910.000000000;    0.246242654
  920.000000000;    0.246939327
  930.000000000;    0.247629645
  940.000000000;    0.248313562
  950.000000000;    0.248991035
  960.000000000;    0.249662018
  970.000000000;    0.250326466
  980.000000000;    0.250984334
  990.000000000;    0.251635573
 1000.000000000;    0.252280134
 1010.000000000;    0.252917964
 1020.000000000;    0.253549004
 1030.000000000;    0.254173195
 1040.000000000;    0.254790470
 1050.000000000;    0.255400759
 1060.000000000;    0.256003989
 1070.000000000;    0.256600078
 1080.000000000;    0.257188944
 1090.000000000;    0.257769438
 1100.000000000;    0.258342371
 1110.000000000;    0.258907822
 1120.000000000;    0.259465724
 1130.000000000;    0.260016015
 1140.000000000;    0.260558627
 1150.000000000;    0.261093496
 1160.000000000;    0.261620553
 1170.000000000;    0.262139733
 1180.000000000;    0.262650970
 1190.000000000;    0.263154200
 1200.000000000;    0.263649359
 1210.000000000;    0.264136385
 1220.000000000;    0.264615218
 1230.000000000;    0.265085800
 1240.000000000;    0.265548078
 1250.000000000;    0.266001999
 1260.000000000;    0.266447513
 1270.000000000;    0.266885440
 1280.000000000;    0.267314980
 1290.000000000;    0.267735953
 1300.000000000;    0.268148296
 1310.000000000;    0.268551950
 1320.000000000;    0.268946860
 1330.000000000;    0.269332973
 1340.000000000;    0.269710244
 1350.000000000;    0.270078627
 1360.000000000;    0.270438083
 1370.000000000;    0.270788576
 1380.000000000;    0.271130075
 1390.000000000;    0.271462550
 1400.000000000;    0.271785974
 1410.000000000;    0.272100326
 1420.000000000;    0.272405584
 1430.000000000;    0.272701728
 1440.000000000;    0.272988740
 1450.000000000;    0.273266556
 1460.000000000;    0.273535210
 1470.000000000;    0.273794695
 1480.000000000;    0.274044993
 1490.000000000;    0.274286087
 1500.000000000;    0.274517957
 1510.000000000;    0.274740582
 1520.000000000;    0.274953938
 1530.000000000;    0.275158000
 1540.000000000;    0.275352738
 1550.000000000;    0.275538122
