elapsed time [s];abs. position error [km]
    0.000000000;    0.463202002
   10.000000000;    0.464477866
   20.000000000;    0.465733852
   30.000000000;    0.466969695
   40.000000000;    0.468185143
   50.000000000;    0.469379957
   60.000000000;    0.470553913
   70.000000000;    0.471706797
   80.000000000;    0.472838410
   90.000000000;    0.473948561
  100.000000000;    0.475037074
  110.000000000;    0.476103777
  120.000000000;    0.477148511
  130.000000000;    0.478171121
  140.000000000;    0.479171461
  150.000000000;    0.480151508
  160.000000000;    0.481110031
  170.000000000;    0.482045756
  180.000000000;    0.482958466
  190.000000000;    0.483847946
  200.000000000;    0.484713986
  210.000000000;    0.485556378
  220.000000000;    0.486374915
  230.000000000;    0.487169399
  240.000000000;    0.487939629
  250.000000000;    0.488685413
  260.000000000;    0.489406559
  270.000000000;    0.490102879
  280.000000000;    0.490774189
  290.000000000;    0.491420306
  300.000000000;    0.492041049
  310.000000000;    0.492636238
  320.000000000;    0.493205694
  330.000000000;    0.493751467
  340.000000000;    0.494272329
  350.000000000;    0.494766915
  360.000000000;    0.495234944
  370.000000000;    0.495676127
  380.000000000;    0.496090166
  390.000000000;    0.496476757
  400.000000000;    0.496835591
  410.000000000;    0.497166353
  420.000000000;    0.497468725
  430.000000000;    0.497742385
  440.000000000;    0.497987010
  450.000000000;    0.498202277
  460.000000000;    0.498387863
  470.000000000;    0.498543448
  480.000000000;    0.498668716
  490.000000000;    0.498763356
  500.000000000;    0.498827062
  510.000000000;    0.498858918
  520.000000000;    0.498858939
  530.000000000;    0.498827178
  540.000000000;    0.498763396
  550.000000000;    0.498667370
  560.000000000;    0.498538891
  570.000000000;    0.498377766
  580.000000000;    0.498183821
  590.000000000;    0.497956896
  600.000000000;    0.497696852
  610.000000000;    0.497403566
  620.000000000;    0.497076935
  630.000000000;    0.496716876
  640.000000000;    0.496323324
  650.000000000;    0.495896233
  660.000000000;    0.495435579
  670.000000000;    0.494941355
  680.000000000;    0.494413575
  690.000000000;    0.493853073
  700.000000000;    0.493259511
  710.000000000;    0.492632530
  720.000000000;    0.491972182
  730.000000000;    0.491278535
  740.000000000;    0.490551673
  750.000000000;    0.489791696
  760.000000000;    0.488998718
  770.000000000;    0.488172871
  780.000000000;    0.487314300
  790.000000000;    0.486423165
  800.000000000;    0.485499640
  810.000000000;    0.484543914
  820.000000000;    0.483556188
  830.000000000;    0.482536675
  840.000000000;    0.481485603
  850.000000000;    0.480403208
  860.000000000;    0.479289741
  870.000000000;    0.478146469
  880.000000000;    0.476973188
  890.000000000;    0.475769640
  900.000000000;    0.474536067
  910.000000000;    0.473272717
  920.000000000;    0.471979843
  930.000000000;    0.470657707
  940.000000000;    0.469306573
  950.000000000;    0.467926716
  960.000000000;    0.466518416
  970.000000000;    0.465081959
  980.000000000;    0.463617641
  990.000000000;    0.462125768
 1000.000000000;    0.460606652
 1010.000000000;    0.459060618
 1020.000000000;    0.457487998
 1030.000000000;    0.455889138
 1040.000000000;    0.454264396
 1050.000000000;    0.452612454
 1060.000000000;    0.450934515
 1070.000000000;    0.449231875
 1080.000000000;    0.447505012
 1090.000000000;    0.445754426
 1100.000000000;    0.443980628
 1110.000000000;    0.442184145
 1120.000000000;    0.440365516
 1130.000000000;    0.438525295
 1140.000000000;    0.436664042
 1150.000000000;    0.434782331
 1160.000000000;    0.432880739
 1170.000000000;    0.430959852
 1180.000000000;    0.429020259
 1190.000000000;    0.427062553
 1200.000000000;    0.425087325
 1210.000000000;    0.423095166
 1220.000000000;    0.421086666
 1230.000000000;    0.419064761
 1240.000000000;    0.417028878
 1250.000000000;    0.414978329
 1260.000000000;    0.412913573
 1270.000000000;    0.410835057
 1280.000000000;    0.408743211
 1290.000000000;    0.406638458
 1300.000000000;    0.404521202
 1310.000000000;    0.402391841
 1320.000000000;    0.400250758
 1330.000000000;    0.398098329
 1340.000000000;    0.395934919
 1350.000000000;    0.393760889
 1360.000000000;    0.391576591
 1370.000000000;    0.389382376
 1380.000000000;    0.387178592
 1390.000000000;    0.384965589
 1400.000000000;    0.382743717
 1410.000000000;    0.380511525
 1420.000000000;    0.378270273
 1430.000000000;    0.376021298
 1440.000000000;    0.373765059
 1450.000000000;    0.371502029
 1460.000000000;    0.369232703
 1470.000000000;    0.366957590
 1480.000000000;    0.364677224
 1490.000000000;    0.362392160
 1500.000000000;    0.360102979
 1510.000000000;    0.357810287
 1520.000000000;    0.355514720
 1530.000000000;    0.353216945
 1540.000000000;    0.350917659
 1550.000000000;    0.348617597
 1560.000000000;    0.346317529
 1570.000000000;    0.344018263
 1580.000000000;    0.341720652
 1590.000000000;    0.339424058
 1600.000000000;    0.337130171
 1610.000000000;    0.334840792
 1620.000000000;    0.332557015
 1630.000000000;    0.330279988
 1640.000000000;    0.328010909
 1650.000000000;    0.325751030
 1660.000000000;    0.323501652
 1670.000000000;    0.321264128
 1680.000000000;    0.319039865
 1690.000000000;    0.316830319
 1700.000000000;    0.314636997
 1710.000000000;    0.312461454
 1720.000000000;    0.310305297
 1730.000000000;    0.308170176
 1740.000000000;    0.306057788
 1750.000000000;    0.303969873
 1760.000000000;    0.301908213
 1770.000000000;    0.299875347
 1780.000000000;    0.297872794
 1790.000000000;    0.295902063
 1800.000000000;    0.293965039
 1810.000000000;    0.292063635
 1820.000000000;    0.290199778
 1830.000000000;    0.288375413
 1840.000000000;    0.286592496
 1850.000000000;    0.284852987
 1860.000000000;    0.283158846
 1870.000000000;    0.281512031
 1880.000000000;    0.279914486
 1890.000000000;    0.278368140
 1900.000000000;    0.276874899
 1910.000000000;    0.275436642
 1920.000000000;    0.274055209
 1930.000000000;    0.272732400
 1940.000000000;    0.271469965
 1950.000000000;    0.270271134
 1960.000000000;    0.269136788
 1970.000000000;    0.268067672
 1980.000000000;    0.267065209
 1990.000000000;    0.266130747
 2000.000000000;    0.265265537
 2010.000000000;    0.264470744
 2020.000000000;    0.263747437
 2030.000000000;    0.263096582
 2040.000000000;    0.262519047
 2050.000000000;    0.262015591
 2060.000000000;    0.261586868
 2070.000000000;    0.261233420
 2080.000000000;    0.260955681
 2090.000000000;    0.260753973
 2100.000000000;    0.260628509
 2110.000000000;    0.260579391
 2120.000000000;    0.260606615
 2130.000000000;    0.260710800
 2140.000000000;    0.260891352
 2150.000000000;    0.261147562
 2160.000000000;    0.261478991
 2170.000000000;    0.261885107
 2180.000000000;    0.262365291
 2190.000000000;    0.262918847
 2200.000000000;    0.263544999
 2210.000000000;    0.264242906
 2220.000000000;    0.265011662
 2230.000000000;    0.265850306
 2240.000000000;    0.266757825
 2250.000000000;    0.267733165
 2260.000000000;    0.268775230
 2270.000000000;    0.269882899
 2280.000000000;    0.271055020
 2290.000000000;    0.272290425
 2300.000000000;    0.273587931
 2310.000000000;    0.274945259
 2320.000000000;    0.276361744
 2330.000000000;    0.277836774
 2340.000000000;    0.279369204
 2350.000000000;    0.280957905
 2360.000000000;    0.282601754
 2370.000000000;    0.284299649
 2380.000000000;    0.286050502
 2390.000000000;    0.287853244
 2400.000000000;    0.289706823
 2410.000000000;    0.291610212
 2420.000000000;    0.293562398
